Hotel Name,City,Country,Rating,Price,Amenities,Review-1,Review-2,,,,,
Park Inn By Radisson, Baku Hotel,Baku,,4,5903,Air ConditioningBanquet hallBusiness ServicesCCTV surveillanceConference RoomDiningFree InternetHealth-Spa, , ,,,,
Fairmont Baku, Flame Towers,Baku,,4.5,8037,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry Service,One of the best hotel I ever stayed... amazing staff great services superb spacious rooms with panoramic view, ,,,,
Rahi Tourist Bungalow, Balrampur,Balrampur,India,,1425,Air ConditioningBanquet hallCCTV surveillanceConference RoomDaily housekeepingDiningDoctor On CallFree Internet, , ,,,,
Rahi Tourist Bungalow, Balrampur,Balrampur,India,,1395,Air ConditioningBanquet hallCCTV surveillanceConference RoomDiningDoctor On CallFree InternetIndoor Entertainment, , ,,,,
MPT White Tiger Forest Lodge, Bandhavgarh,Bandhavgarh,India,4.7,4353,Air ConditioningBonfireCCTV surveillanceConference RoomDiningDoctor On CallFree InternetHealth-Spa,nice Resort convenient convenient way nice hospitality and nice food,Its located in the forest area,,,,
MPT White Tiger Forest Lodge, Bandhavgarh,Bandhavgarh,India,4.7,4557,Air ConditioningBonfireCCTV surveillanceConference RoomDiningDoctor On CallFree InternetHealth-Spa,nice Resort convenient convenient way nice hospitality and nice food,Its located in the forest area,,,,
MPT White Tiger Forest Lodge, Bandhavgarh,Bandhavgarh,India,4.7,4557,Air ConditioningBonfireCCTV surveillanceConference RoomDiningDoctor On CallFree InternetHealth-Spa,nice Resort convenient convenient way nice hospitality and nice food,Its located in the forest area,,,,
MPT White Tiger Forest Lodge, Bandhavgarh,Bandhavgarh,India,4.7,4557,Air ConditioningBonfireCCTV surveillanceConference RoomDiningDoctor On CallFree InternetHealth-Spa,nice Resort convenient convenient way nice hospitality and nice food,Its located in the forest area,,,,
MPT White Tiger Forest Lodge, Bandhavgarh,Bandhavgarh,India,4.7,4557,Air ConditioningBonfireCCTV surveillanceConference RoomDiningDoctor On CallFree InternetHealth-Spa,nice Resort convenient convenient way nice hospitality and nice food,Its located in the forest area,,,,
Draper Startup House , Koramangala,Bangalore,India,4.7,354,CCTV surveillanceConference RoomFree InternetIndoor EntertainmentLaundry ServicePower backupRoom ServiceSpa,Food is not available in the property but kitchen is there and guest can cook their own food. The location of the property is convenient to reach also. The neatness of the room and the washroom was also perfect and the conduct of the staff was nice. ,Hey guys! I'm really glad to share our experience at Draper Startup House,,,,
Jade 735, Luxury Homestay,Bangalore,India,1,52453,DiningInternetOutdoor ActivitiesParking FacilityPower backupSwimming Pool,One of the most pathetic Resort one can experience!!. Staff behavior is horrible. Almost everything is untidy. The pool was dirty and they were cleaning it when we wanted to enter the pool. Worst maintece of a resort of such decoration.,TERRIBLE!!!! They charge exorbitant rates and offer a totally ** service. The staff aren't helpful at all and the food was below average. I'll never ever visit it nor will I recommend it to anyone else,,,,
Luxurious, Warm Homestay Casa Blanca,Bangalore,India,,6161,Daily housekeepingFree InternetKitchenPower backup, , ,,,,
ITC Gardenia, A Luxury Collection Hotel,Bangalore,India,4.7,8000,Air ConditioningBanquet hallBusiness ServicesCCTV surveillanceConference RoomDiningDoctor On CallHealth-Spa,Beautiful ambience. Staff is very polite ,Good place to stay,,,,
Vivanta Bengaluru, Whitefield,Bangalore,India,4.4,7000,Banquet hallBusiness ServicesCCTV surveillanceConference RoomDaily housekeepingDiningFree InternetHealth-Spa,Had a pleasant stay. Can not thank the staff more - they were always eager to help. It is the service that sepeates Taj from everyone else. Being a Taj inner circle member too helps. Overall,Stay was good. Service was awesome. I recommend you guys this.,,,,
The Sandalwood, Beijing - Marriott Executive Apartments,Beijing,China,4.5,11315,Air ConditioningBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentInternetLaundry Service, , ,,,,
The Sandalwood, Beijing - Marriott Executive Apartments,Beijing,China,4.5,11315,Air ConditioningBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentInternetLaundry Service, , ,,,,
The Ritz-Carlton, Beijing,Beijing,China,4.5,12932,Banquet hallBusiness ServicesFree InternetFront deskIndoor EntertainmentLaundry ServiceParking FacilitySpa, , ,,,,
The Imperial Mansion, Beijing Marriott Executive Apartments,Beijing,China,4.5,9450,Air ConditioningBanquet hallConference RoomFree InternetIndoor EntertainmentLaundry ServiceRestaurant/Coffee ShopRoom Service, , ,,,,
Four Points by Sheraton Beijing, Haidian,Beijing,China,4,8082,Banquet hallBusiness ServicesConference RoomFree InternetHealth-SpaLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,
The Sandalwood, Beijing - Marriott Executive Apartments,Beijing,China,4.5,11315,Air ConditioningBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentInternetLaundry Service, , ,,,,
Four Points by Sheraton Beijing, Haidian,Beijing,China,4,8082,Banquet hallBusiness ServicesConference RoomFree InternetHealth-SpaLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,
The Fern Residency, Bhuj,Bhuj,India,4.5,2466,Banquet hallBusiness ServicesCCTV surveillanceConference RoomDaily housekeepingDiningFree InternetHealth-Spa,The Food is Fantastic with good taste .,nice hotel but little costly And room size is also not so big. room and cleaning service is very nice.,,,,
The Fern Residency, Bhuj,Bhuj,India,4.5,2466,Banquet hallBusiness ServicesCCTV surveillanceConference RoomDaily housekeepingDiningFree InternetHealth-Spa,The Food is Fantastic with good taste .,nice hotel but little costly And room size is also not so big. room and cleaning service is very nice.,,,,
The Fern Residency, Bhuj,Bhuj,India,4.5,2466,Banquet hallBusiness ServicesCCTV surveillanceConference RoomDaily housekeepingDiningFree InternetHealth-Spa,The Food is Fantastic with good taste .,nice hotel but little costly And room size is also not so big. room and cleaning service is very nice.,,,,
Radisson Blu Hotel, Birmingham,Birmingham,United States,,6139,Air ConditioningBanquet hallBusiness ServicesCCTV surveillanceConference RoomFree InternetHealth-SpaLaundry Service, , ,,,,
Marriott Mena House, Cairo,Cairo,Egypt,4.5,7616,, , ,,,,
Marriott Mena House, Cairo,Cairo,Egypt,,7640,Banquet hallBusiness ServicesFree InternetFront deskHealth-SpaLaundry ServiceParking FacilityRestaurant/Coffee Shop, , ,,,,
The Nile Ritz-Carlton, Cairo,Cairo,Egypt,4.5,11011,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry Service, , ,,,,
Comfort Inn Halifax,Halifax,Canada,4.5,6505,Business ServicesHealth-SpaLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopRoom ServiceSwimming Pool, , ,,,,,
HI-Halifax,Halifax,Canada,,1700,Free InternetLaundry ServiceOutdoor ActivitiesParking Facility, , ,,,,,
Hotel Halifax,Halifax,Canada,,5119,Business ServicesFree InternetFront deskInternetLaundry ServiceParking FacilityRestaurant/Coffee ShopSpa, , ,,,,,
Hotel Halifax,Halifax,Canada,,5415,, , ,,,,,
Coastal Inn Halifax - Bayers Lake,Halifax,Canada,4,5691,Business ServicesConference RoomHealth-SpaIndoor EntertainmentLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopRoom Service, , ,,,,,
Hampton Inn by Hilton Halifax Downtown,Halifax,Canada,4.5,5738,Air ConditioningBusiness ServicesConference RoomFree InternetLaundry ServiceParking FacilityRestaurant/Coffee ShopRoom Service, , ,,,,,
Best Western Dartmouth Hotel & Suites,Halifax,Canada,,5023,, , ,,,,,
Barrington Hotel,Halifax,Canada,,4892,Air ConditioningBanquet hallBusiness ServicesFree InternetHealth-SpaLaundry ServiceParking FacilityRestaurant/Coffee Shop, , ,,,,,
The Halliburton,Halifax,Canada,4,5768,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Downtown Hfx Heritage Home with Luxury Finishes,Halifax,Canada,,11517,, , ,,,,,
HI-Halifax,Halifax,Canada,,1715,Free InternetLaundry ServiceOutdoor ActivitiesParking Facility, , ,,,,,
Granville Hall Residence,Halifax,Canada,,6198,, , ,,,,,
Hotel Halifax,Halifax,Canada,,4406,Business ServicesFree InternetFront deskInternetLaundry ServiceParking FacilityRestaurant/Coffee ShopSpa, , ,,,,,
Residence Inn by Marriott Halifax Downtown,Halifax,Canada,,7057,Free InternetFront deskLaundry ServiceParking FacilityRestaurant/Coffee ShopRoom Service, , ,,,,,
Courtyard by Marriott Halifax Downtown,Halifax,Canada,,6046,Free InternetFront deskInternetLaundry ServiceParking FacilityRestaurant/Coffee ShopRoom ServiceSpa, , ,,,,,
Commons Inn,Halifax,Canada,,4004,Banquet hallConference RoomParking FacilityRestaurant/Coffee ShopTravel Assistance, , ,,,,,
Homewood Suites by Hilton Halifax-Downtown,Halifax,Canada,4.5,6462,Business ServicesFree InternetHealth-SpaLaundry ServiceParking FacilityRestaurant/Coffee ShopRoom ServiceSwimming Pool, , ,,,,,
Coastal Inn Halifax - Bayers Lake,Halifax,Canada,,6201,Business ServicesFree InternetFront deskLaundry ServiceSwimming Pool, , ,,,,,
Garden South Park Inn,Halifax,Canada,,5693,Free InternetLaundry ServiceSwimming Pool, , ,,,,,
Courtyard by Marriott Halifax,Halifax,Canada,,6037,Business ServicesFree InternetFront deskParking FacilityRestaurant/Coffee ShopSwimming Pool, , ,,,,,
Chebucto Inn,Halifax,Canada,,6708,Air ConditioningBusiness ServicesFree InternetFront deskLaundry ServiceOutdoor ActivitiesParking FacilityPets allowed, , ,,,,,
Hotel Halifax,Halifax,Canada,,4982,, , ,,,,,
Best Western Dartmouth Hotel & Suites,Halifax,Canada,,4822,, , ,,,,,
Barrington Hotel,Halifax,Canada,,4057,Air ConditioningBanquet hallBusiness ServicesFree InternetHealth-SpaLaundry ServiceParking FacilityRestaurant/Coffee Shop, , ,,,,,
Halifax Marriott Harbourfront Hotel,Halifax,Canada,,9542,Business ServicesFree InternetFront deskHealth-SpaLaundry ServiceParking FacilityPets allowedRestaurant/Coffee Shop, , ,,,,,
Ascendence Harborside Bed & Breakfast,Halifax,Canada,,4171,Business ServicesFree InternetFront deskIndoor EntertainmentLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopRoom Service, , ,,,,,
Oceanstone Seaside Resort,Halifax,Canada,,14036,, , ,,,,,
M. Hooper Downtown Luxury,Halifax,Canada,,20314,Free InternetHealth-SpaIndoor EntertainmentLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Bluenose Inn and Suites,Halifax,Canada,2.5,4968,Laundry ServiceRestaurant/Coffee Shop, , ,,,,,
Seasons Inn Halifax,Halifax,Canada,,4536,Free InternetLaundry ServiceParking FacilityPets allowed, , ,,,,,
The Fourth Lock Bed & Breakfast,Halifax,Canada,,5051,Banquet hallFree InternetRestaurant/Coffee Shop, , ,,,,,
Webbers Motel,Halifax,Canada,,6482,, , ,,,,,
Residence Inn by Marriott Halifax Downtown,Halifax,Canada,,7076,Free InternetFront deskLaundry ServiceParking FacilityRestaurant/Coffee ShopRoom Service, , ,,,,,
Granville Hall Residence,Halifax,Canada,,6203,, , ,,,,,
Courtyard by Marriott Halifax,Halifax,Canada,,6043,Business ServicesFree InternetFront deskParking FacilityRestaurant/Coffee ShopSwimming Pool, , ,,,,,
Courtyard by Marriott Halifax Downtown,Halifax,Canada,,6062,Free InternetFront deskInternetLaundry ServiceParking FacilityRestaurant/Coffee ShopRoom ServiceSpa, , ,,,,,
Barrington Hotel,Halifax,Canada,,4204,Air ConditioningBanquet hallBusiness ServicesFree InternetHealth-SpaLaundry ServiceParking FacilityRestaurant/Coffee Shop, , ,,,,,
Hotel Halifax,Halifax,Canada,,4987,, , ,,,,,
Hotel Halifax,Halifax,Canada,,4418,Business ServicesFree InternetFront deskInternetLaundry ServiceParking FacilityRestaurant/Coffee ShopSpa, , ,,,,,
Halifax Marriott Harbourfront Hotel,Halifax,Canada,,8581,Business ServicesFree InternetFront deskHealth-SpaLaundry ServiceParking FacilityPets allowedRestaurant/Coffee Shop, , ,,,,,
Homewood Suites by Hilton Halifax-Downtown,Halifax,Canada,4.5,6468,Business ServicesFree InternetHealth-SpaLaundry ServiceParking FacilityRestaurant/Coffee ShopRoom ServiceSwimming Pool, , ,,,,,
HI-Halifax,Halifax,Canada,,1716,Free InternetLaundry ServiceOutdoor ActivitiesParking Facility, , ,,,,,
Super 8 by Wyndham Brockville,Brockville,Canada,,5700,Free InternetFront deskInternetSwimming Pool, , ,,,,,
Comfort Inn Brockville,Brockville,Canada,,6096,Business ServicesConference RoomHealth-SpaIndoor EntertainmentLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopRoom Service, , ,,,,,
Travelodge by Wyndham Brockville,Brockville,Canada,,4085,Business ServicesConference RoomHealth-SpaLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Days Inn by Wyndham Brockville,Brockville,Canada,3.5,4227,Banquet hallBusiness ServicesConference RoomFree InternetHealth-SpaLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
The Noble Suites,Brockville,Canada,,9446,Free InternetLaundry ServiceOutdoor ActivitiesParking FacilityRoom ServiceSwimming PoolTravel Assistance, , ,,,,,
Holiday Inn Express Hotel & Suites Brockville,Brockville,Canada,,8255,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Green Door B&B Brockville,Brockville,Canada,,8606,, , ,,,,,
Super 8 by Wyndham Brockville,Brockville,Canada,,7509,Free InternetFront deskInternetSwimming Pool, , ,,,,,
Green Door B&B Brockville,Brockville,Canada,,8131,, , ,,,,,
Comfort Inn Brockville,Brockville,Canada,,5505,Business ServicesConference RoomHealth-SpaIndoor EntertainmentLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopRoom Service, , ,,,,,
Travelodge by Wyndham Brockville,Brockville,Canada,,5645,Business ServicesConference RoomHealth-SpaLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Days Inn by Wyndham Brockville,Brockville,Canada,3.5,5645,Banquet hallBusiness ServicesConference RoomFree InternetHealth-SpaLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Holiday Inn Express Hotel & Suites Brockville,Brockville,Canada,,6671,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Ramada by Wyndham Kamloops,Kamloops,Canada,3.5,5064,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaLaundry ServiceOutdoor Activities, , ,,,,,
Acadian Inn,Kamloops,Canada,3.5,3721,Business ServicesFree InternetLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopTravel Assistance,Great family which runs the motel. They are sweet, ,,,,,
Knights Inn Kamloops,Kamloops,Canada,2.5,4128,Air ConditioningAirport Transfer (on Demand)Business ServicesConference RoomFree InternetLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Travelodge by Wyndham Kamloops Mountview,Kamloops,Canada,3.5,5449,Airport Transfer (on Demand)Business ServicesConference RoomFree InternetIndoor EntertainmentLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Alpine Motel,Kamloops,Canada,3.5,3855,Business ServicesLaundry ServiceRestaurant/Coffee ShopRoom Service, , ,,,,,
The Coast Kamloops Hotel & Conference Centre,Kamloops,Canada,4.5,7261,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry Service, , ,,,,,
Best Budget Inn & Suites Kamloops,Kamloops,Canada,3,3732,Indoor EntertainmentLaundry ServiceRestaurant/Coffee ShopSwimming Pool, , ,,,,,
South Thompson Inn & Conference Centre,Kamloops,Canada,4.5,7423,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetIndoor EntertainmentLaundry ServiceOutdoor Activities, , ,,,,,
Riverland Inn & Suites,Kamloops,Canada,4,3356,Air ConditioningBanquet hallBusiness ServicesFree InternetOutdoor ActivitiesRestaurant/Coffee ShopSwimming Pool, , ,,,,,
Holiday Inn Hotel & Suites KAMLOOPS,Kamloops,Canada,4.5,6885,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry Service, , ,,,,,
Lakeside Country Inn,Kamloops,Canada,5,7387,Free InternetFront deskPets allowed, , ,,,,,
The Coast Kamloops Hotel & Conference Centre,Kamloops,Canada,4.5,8079,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry Service, , ,,,,,
Alpine Motel,Kamloops,Canada,3.5,3628,Business ServicesLaundry ServiceRestaurant/Coffee ShopRoom Service, , ,,,,,
Riverland Inn & Suites,Kamloops,Canada,4,4580,Air ConditioningBanquet hallBusiness ServicesFree InternetOutdoor ActivitiesRestaurant/Coffee ShopSwimming Pool, , ,,,,,
Best Budget Inn & Suites Kamloops,Kamloops,Canada,3,3529,Indoor EntertainmentLaundry ServiceRestaurant/Coffee ShopSwimming Pool, , ,,,,,
Holiday Inn Hotel & Suites KAMLOOPS,Kamloops,Canada,4.5,6862,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry Service, , ,,,,,
The Thompson Hotel & Conference Centre,Kamloops,Canada,4,6247,Air ConditioningAirport Transfer (on Demand)Banquet hallBusiness ServicesConference RoomFree InternetIndoor EntertainmentLaundry Service, , ,,,,,
Wingate by Wyndham Kamloops,Kamloops,Canada,,6659,Business ServicesFree InternetFront deskLaundry ServiceParking FacilityRoom ServiceSpaSwimming Pool, , ,,,,,
Accent Inn Kamloops,Kamloops,Canada,4.5,5478,Business ServicesConference RoomFree InternetHealth-SpaLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopRoom Service, , ,,,,,
Doubletree by Hilton Hotel Kamloops,Kamloops,Canada,,7828,, , ,,,,,
South Thompson Inn & Conference Centre,Kamloops,Canada,4.5,8701,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetIndoor EntertainmentLaundry ServiceOutdoor Activities, , ,,,,,
Sandman Signature Kamloops Hotel,Kamloops,Canada,4,7999,Banquet hallBusiness ServicesConference RoomHealth-SpaLaundry ServiceRestaurant/Coffee ShopRoom ServiceSwimming Pool, , ,,,,,
Best Western Plus Kamloops Hotel,Kamloops,Canada,,9921,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaLaundry ServiceRestaurant/Coffee Shop, , ,,,,,
Fairfield Inn & Suites by Marriott Kamloops,Kamloops,Canada,,8399,Air ConditioningBanquet hallConference RoomFree InternetHealth-SpaOutdoor ActivitiesRestaurant/Coffee ShopSpa, , ,,,,,
Scott's Inn,Kamloops,Canada,,4595,Air ConditioningBanquet hallFree InternetIndoor EntertainmentOutdoor ActivitiesRestaurant/Coffee ShopRoom ServiceSwimming Pool, , ,,,,,
Ramada by Wyndham Kamloops,Kamloops,Canada,3.5,4638,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaLaundry ServiceOutdoor Activities, , ,,,,,
Acadian Inn,Kamloops,Canada,3.5,3516,Business ServicesFree InternetLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopTravel Assistance,Great family which runs the motel. They are sweet, ,,,,,
Knights Inn Kamloops,Kamloops,Canada,2.5,4319,Air ConditioningAirport Transfer (on Demand)Business ServicesConference RoomFree InternetLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Travelodge by Wyndham Kamloops Mountview,Kamloops,Canada,3.5,4980,Airport Transfer (on Demand)Business ServicesConference RoomFree InternetIndoor EntertainmentLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Super 8 by Wyndham Kamloops BC,Kamloops,Canada,3.5,5025,Air ConditioningAirport Transfer (on Demand)Banquet hallConference RoomFree InternetLaundry ServiceOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Quality Inn,Kamloops,Canada,4,5462,Business ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry ServiceRestaurant/Coffee ShopRoom Service, , ,,,,,
Four Points by Sheraton Kamloops,Kamloops,Canada,3.5,8413,Business ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry ServiceRestaurant/Coffee ShopRoom Service, , ,,,,,
Canadas Best Value Inn & Suites Kamloops,Kamloops,Canada,3.5,4870,Airport Transfer (on Demand)Business ServicesFree InternetIndoor EntertainmentLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopSpa, , ,,,,,
Hampton Inn by Hilton Kamloops,Kamloops,Canada,4.5,7422,Banquet hallBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry ServiceOutdoor Activities, , ,,,,,
Howard Johnson by Wyndham Downtown Kamloops,Kamloops,Canada,3,3466,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetLaundry ServiceRestaurant/Coffee ShopRoom Service, , ,,,,,
Sandman Signature Kamloops Hotel,Kamloops,Canada,4,7999,Banquet hallBusiness ServicesConference RoomHealth-SpaLaundry ServiceRestaurant/Coffee ShopRoom ServiceSwimming Pool, , ,,,,,
Delta Hotels by Marriott Kamloops,Kamloops,Canada,4,8526,Banquet hallBusiness ServicesFree InternetFront deskLaundry ServiceParking FacilityRestaurant/Coffee ShopRoom Service, , ,,,,,
Doubletree by Hilton Hotel Kamloops,Kamloops,Canada,,7828,, , ,,,,,
The Thompson Hotel & Conference Centre,Kamloops,Canada,4,6247,Air ConditioningAirport Transfer (on Demand)Banquet hallBusiness ServicesConference RoomFree InternetIndoor EntertainmentLaundry Service, , ,,,,,
Travelodge by Wyndham Kamloops,Kamloops,Canada,3.5,4111,Air ConditioningAirport Transfer (on Demand)Free InternetLaundry ServiceRestaurant/Coffee ShopRoom ServiceSwimming Pool, , ,,,,,
Howard Johnson by Wyndham Downtown Kamloops,Kamloops,Canada,3,3466,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetLaundry ServiceRestaurant/Coffee ShopRoom Service, , ,,,,,
Sandman Inn & Suites Kamloops,Kamloops,Canada,3,4704,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetLaundry ServiceRestaurant/Coffee ShopRoom Service, , ,,,,,
Ramada by Wyndham Kamloops,Kamloops,Canada,3.5,4638,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaLaundry ServiceOutdoor Activities, , ,,,,,
Hospitality Inn,Kamloops,Canada,3,2394,Air ConditioningFree InternetLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopRoom ServiceSwimming Pool, , ,,,,,
Comfort Inn & Suites Kamloops,Kamloops,Canada,4,4814,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaLaundry ServiceOutdoor Activities, , ,,,,,
Days Inn by Wyndham Kamloops BC,Kamloops,Canada,3.5,4636,Air ConditioningBanquet hallBusiness ServicesConference RoomHealth-SpaRestaurant/Coffee ShopRoom Service, , ,,,,,
Quality Inn,Kamloops,Canada,4,5462,Business ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry ServiceRestaurant/Coffee ShopRoom Service, , ,,,,,
Quality Inn Kamloops,Kamloops,Canada,,4814,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaOutdoor ActivitiesRestaurant/Coffee Shop, , ,,,,,
Canadas Best Value Inn & Suites Kamloops,Kamloops,Canada,3.5,4870,Airport Transfer (on Demand)Business ServicesFree InternetIndoor EntertainmentLaundry ServiceOutdoor ActivitiesRestaurant/Coffee ShopSpa, , ,,,,,
Wingate by Wyndham Kamloops,Kamloops,Canada,,6659,Business ServicesFree InternetFront deskLaundry ServiceParking FacilityRoom ServiceSpaSwimming Pool, , ,,,,,
The Coast Kamloops Hotel & Conference Centre,Kamloops,Canada,4.5,8079,Air ConditioningBanquet hallBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry Service, , ,,,,,
Hampton Inn by Hilton Kamloops,Kamloops,Canada,4.5,7422,Banquet hallBusiness ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry ServiceOutdoor Activities, , ,,,,,
Four Points by Sheraton Kamloops,Kamloops,Canada,3.5,8413,Business ServicesConference RoomFree InternetHealth-SpaIndoor EntertainmentLaundry ServiceRestaurant/Coffee ShopRoom Service, , ,,,,,
